title,print_title
Бисероплетение,Бисероплетение
Веб–дизайн,Веб–дизайн
Выпечка хлебобулочных изделий,Выпечка хлебобулочных изделий
Вязание спицами,Вязание спицами
Декоративно-прикладное искусство (городецкая роспись) ,Декоративно-прикладное искусство (городецкая роспись) 
Декоративные работы,Декоративные работы
Дизайн плаката,Дизайн плаката
Изобразительное искусство,Изобразительное искусство
Облицовка плиткой,Облицовка плиткой
Парикмахерское искусство,Парикмахерское искусство
Поварское дело,Поварское дело
Портной,Портной
Предпринимательство,Предпринимательство
Промышленная робототехника,Промышленная робототехника
Ремонт и обслуживание автомобилей,Ремонт и обслуживание автомобилей
Ресторанный сервис,Ресторанный сервис
Цифровой куратор,Цифровой куратор
Электромонтаж,Электромонтаж
